date,price,open,high,low,volume,change_percent
"Aug 04, 2016",0.590,0.590,0.590,0.585,879.90K,0.85%
"Aug 03, 2016",0.585,0.590,0.590,0.585,669.80K,-0.85%
"Aug 02, 2016",0.590,0.595,0.595,0.585,1.75M,-0.84%
"Aug 01, 2016",0.595,0.590,0.600,0.590,777.10K,0.00%
"Jul 29, 2016",0.595,0.600,0.600,0.590,910.20K,-0.83%
"Jul 28, 2016",0.600,0.600,0.600,0.590,783.70K,0.00%
"Jul 27, 2016",0.600,0.600,0.600,0.595,370.30K,0.00%
"Jul 26, 2016",0.600,0.600,0.605,0.595,535.00K,0.84%
"Jul 25, 2016",0.595,0.610,0.610,0.595,1.23M,-2.46%
"Jul 22, 2016",0.610,0.595,0.610,0.590,1.22M,3.39%
"Jul 21, 2016",0.590,0.610,0.610,0.590,1.58M,-3.28%
"Jul 20, 2016",0.610,0.610,0.615,0.605,831.50K,0.00%
"Jul 19, 2016",0.610,0.625,0.625,0.610,1.31M,-1.61%
"Jul 18, 2016",0.620,0.600,0.625,0.600,4.11M,3.33%
"Jul 15, 2016",0.600,0.585,0.605,0.585,1.93M,2.56%
"Jul 14, 2016",0.585,0.590,0.595,0.585,685.30K,0.00%
