date,price,open,high,low,volume,change_percent
"Sep 30, 2016",0.044,0.044,0.044,0.044,210.50K,0.00%
"Sep 29, 2016",0.044,0.044,0.044,0.044,2.08M,0.00%
"Sep 28, 2016",0.044,0.044,0.046,0.042,2.65M,0.00%
"Sep 27, 2016",0.044,0.044,0.044,0.042,1.39M,0.00%
"Sep 26, 2016",0.044,0.044,0.044,0.044,1.64M,0.00%
"Sep 23, 2016",0.044,0.044,0.044,0.044,941.90K,-4.35%
"Sep 22, 2016",0.046,0.046,0.046,0.046,143.30K,0.00%
"Sep 21, 2016",0.046,0.044,0.046,0.044,354.40K,4.55%
"Sep 20, 2016",0.044,0.044,0.044,0.044,191.90K,0.00%
"Sep 19, 2016",0.044,0.046,0.046,0.044,1.10M,-4.35%
"Sep 15, 2016",0.046,0.046,0.046,0.046,867.00K,0.00%
"Sep 14, 2016",0.046,0.044,0.049,0.044,7.30M,4.55%
"Sep 13, 2016",0.044,0.044,0.044,0.044,43.00K,-4.35%
"Sep 09, 2016",0.046,0.044,0.046,0.044,8.04M,9.52%
"Sep 08, 2016",0.042,0.042,0.044,0.042,227.30K,0.00%
"Sep 07, 2016",0.042,0.042,0.042,0.042,917.30K,0.00%
"Sep 06, 2016",0.042,0.042,0.042,0.042,970.60K,0.00%
"Sep 05, 2016",0.042,0.042,0.042,0.042,1.83M,0.00%
"Sep 02, 2016",0.042,0.042,0.042,0.042,1.68M,0.00%
"Sep 01, 2016",0.042,0.042,0.042,0.042,3.34M,0.00%
"Aug 30, 2016",0.042,0.044,0.044,0.042,1.12M,0.00%
"Aug 29, 2016",0.042,0.044,0.044,0.042,1.18M,-4.55%
