name,link,last,high,low,change,change_percent,volume
Focus Dynamics,https://www.investing.com/equities/focus-dynamics-group-bhd,0.135,0.135,0.125,+0.005,+3.85%,705.70K
Gadang,https://www.investing.com/equities/gadang-holdings-bhd,0.695,0.700,0.685,0.000,0.00%,701.50K
POS Malaysia & Srvcs,https://www.investing.com/equities/pos-malaysia-services-holdings-bhd,3.600,3.650,3.510,+0.060,+1.69%,697.50K
Sersol Bhd,https://www.investing.com/equities/sersol-bhd,0.115,0.125,0.115,0.000,0.00%,697.30K
Padini,https://www.investing.com/equities/padini-holdings-bhd,5.820,5.860,5.800,+0.010,+0.17%,691.50K
Magnum,https://www.investing.com/equities/magnum-bhd,1.940,1.960,1.930,-0.010,-0.51%,688.50K
Karyon Industries,https://www.investing.com/equities/karyon-industries-bhd,0.175,0.180,0.175,-0.010,-5.41%,687.70K
Mlabs Systems,https://www.investing.com/equities/mlabs-systems-bhd,0.050,0.050,0.050,-0.005,-9.09%,685.10K
CSC Steel,https://www.investing.com/equities/csc-steel-holdings-bhd,1.150,1.180,1.140,-0.040,-3.36%,679.60K
Sunzen Biotech,https://www.investing.com/equities/sunzen-biotech-bhd,0.220,0.220,0.220,0.000,0.00%,670.00K
GD Express Carrier,https://www.investing.com/equities/gd-express-carrier-bhd,0.420,0.420,0.410,+0.005,+1.20%,666.30K
Poh Huat Resources,https://www.investing.com/equities/poh-huat-resources-holdings,1.400,1.410,1.360,+0.010,+0.72%,665.80K
Eversafe Rubber,https://www.investing.com/equities/eversafe-rubber-bhd,0.260,0.260,0.245,+0.015,+6.12%,653.50K
Ann Joo Resources,https://www.investing.com/equities/ann-joo-resources-bhd,1.870,1.910,1.860,-0.060,-3.11%,645.40K
AEON Co,https://www.investing.com/equities/aeon-co-(m)-bhd,1.970,2.030,1.940,-0.040,-1.99%,640.60K
Aemulus Holdings Bhd,https://www.investing.com/equities/aemulus-holdings-bhd,0.345,0.350,0.345,-0.005,-1.43%,631.60K
ATA IMS,https://www.investing.com/equities/denko-industrial-corporation,1.570,1.600,1.480,-0.020,-1.26%,630.10K
London Biscuits,https://www.investing.com/equities/london-biscuits-bhd,0.570,0.580,0.570,-0.005,-0.87%,622.40K
UEM Sunrise,https://www.investing.com/equities/uem-sunrise-bhd,0.845,0.850,0.835,-0.005,-0.59%,622.00K
Comfort Gloves,https://www.investing.com/equities/integrated-rubber-corporation,1.040,1.050,1.020,+0.020,+1.96%,620.90K
EA Technique M,https://www.investing.com/equities/ea-technique-m-bhd,0.365,0.380,0.365,-0.010,-2.67%,616.40K
Yinson,https://www.investing.com/equities/yinson-holdings-bhd,4.520,4.580,4.500,-0.010,-0.22%,616.20K
Smtrack,https://www.investing.com/equities/smtrack-bhd,0.110,0.110,0.100,+0.010,+10.00%,614.90K
Dufu Tech Corp,https://www.investing.com/equities/dufu-tech-corp-bhd,2.300,2.360,2.280,-0.050,-2.13%,605.90K
Ire Tex Corp,https://www.investing.com/equities/ire-tex-corporation-bhd,0.110,0.110,0.105,0.000,0.00%,580.00K
Media Prima,https://www.investing.com/equities/media-prima-bhd,0.475,0.485,0.465,-0.015,-3.06%,579.20K
Techfast,https://www.investing.com/equities/techfast-holdings-bhd,0.450,0.455,0.440,-0.005,-1.10%,578.00K
