symbol,name,code
MINHO,MINHO (M) BHD,5576
MISC,MISC BHD,3816
MITRA,MITRAJAYA HOLDINGS BHD,9571
MJPERAK,MAJUPERAK HOLDINGS BHD,8141
MKH,MKH BHD,6114
MKLAND,MK LAND HOLDINGS BHD,8893
MLAB,MLABS SYSTEMS BHD,0085
MMAG,MMAG HOLDINGS BHD,0034
MMCCORP,MMC CORP BHD,2194
MMODE,M-MODE BHD,0059
MMSV,MMS VENTURES BHD,0113
MNC,M N C WIRELESS BHD,0103
MNRB,MNRB HOLDINGS BHD,6459
MPAY,MANAGEPAY SYSTEMS BHD,0156
MPCORP,MALAYSIA PACIFIC CORP BHD,6548
MPHBCAP,MPHB CAPITAL BHD,5237
MPI,MALAYSIAN PACIFIC INDUSTRIES BHD,3867
MQREIT,MRCB-QUILL REIT,5123
MQTECH,MQ TECHNOLOGY BHD,0070
MRCB,MALAYSIAN RESOURCES CORP BHD,1651
MSC,MALAYSIA SMELTING CORP BHD,5916
MSM,MSM MALAYSIA HOLDINGS BHD,5202
MSNIAGA,MESINIAGA BHD,5011
MSPORTS,MULTI SPORTS HOLDINGS LTD,5150
MTDACPI,MTD ACPI ENGINEERING BHD,5924
MTOUCHE,MTOUCHE TECHNOLOGY BHD,0092
MTRONIC,METRONIC GLOBAL BHD,0043
MUDA,MUDA HOLDINGS BHD,3883
MUDAJYA,MUDAJAYA GROUP BHD,5085
MUH,MULTI-USAGE HOLDINGS BHD,9539
MUHIBAH,MUHIBBAH ENGINEERING (M) BHD,5703
MUIIND,MALAYAN UNITED INDUSTRIES BHD,3891
